Sr. no.,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,sport_type,start_date,timezone,achievement_count,kudos_count,comment_count,athlete_count,photo_count,average_speed,max_speed,distance_km,duration_min,pace_min_per_km,start_dt,hour,weekday
46,2023-07-13T18:54:20Z,Run,5436.7,2074,2090,0.0,"[40.72229839861393, -74.03602763079107]","[40.719090308994055, -74.03258543461561]",Run,2023-07-13T22:54:20Z,(GMT-05:00) America/New_York,3,2,0,1,0,2.621,8.796,5.4367,34.56666666666667,6.358023555956126,2023-07-13 18:54:20+00:00,18,3
47,2023-07-12T09:11:57Z,Run,7523.6,3118,3462,3.1,"[40.72183320298791, -74.03605244122446]","[40.710172299295664, -74.04491471126676]",Run,2023-07-12T13:11:57Z,(GMT-05:00) America/New_York,5,2,0,1,0,2.413,8.062,7.5236,51.96666666666667,6.90715437645099,2023-07-12 09:11:57+00:00,9,2
48,2023-07-09T17:20:57Z,Run,7531.1,3293,4352,5.0,"[40.72186555713415, -74.0360240265727]","[40.72163974866271, -74.03653406538069]",Run,2023-07-09T21:20:57Z,(GMT-05:00) America/New_York,3,1,0,1,0,2.287,5.102,7.5311,54.88333333333333,7.287558701030836,2023-07-09 17:20:57+00:00,17,6
49,2023-07-07T18:17:30Z,Run,5474.7,2077,2253,11.6,"[40.72197401896119, -74.03587675653398]","[40.72187913581729, -74.03609468601644]",Run,2023-07-07T22:17:30Z,(GMT-05:00) America/New_York,3,1,0,1,0,2.636,6.186,5.4746999999999995,34.61666666666667,6.3230253103670835,2023-07-07 18:17:30+00:00,18,4
50,2023-07-05T17:34:26Z,Run,2981.8,938,1018,0.0,"[40.721904281526804, -74.03602821752429]","[40.713261533528566, -74.03400180861354]",Run,2023-07-05T21:34:26Z,(GMT-05:00) America/New_York,5,2,0,1,0,3.179,7.2,2.9818000000000002,15.633333333333333,5.242918147874885,2023-07-05 17:34:26+00:00,17,2
51,2023-06-29T18:35:40Z,Run,3080.0,2358,3471,2.1,"[40.71632637642324, -74.03278291225433]","[40.714248921722174, -74.03329705819488]",Run,2023-06-29T22:35:40Z,(GMT-05:00) America/New_York,0,2,0,1,0,1.306,3.335,3.08,39.3,12.759740259740258,2023-06-29 18:35:40+00:00,18,3
52,2023-06-25T19:18:27Z,Run,11824.4,4586,4953,3.2,"[40.721878465265036, -74.03610549867153]","[40.71934469975531, -74.03229005634785]",Run,2023-06-25T23:18:27Z,(GMT-05:00) America/New_York,10,2,0,1,0,2.578,6.318,11.824399999999999,76.43333333333334,6.464034820653339,2023-06-25 19:18:27+00:00,19,6
53,2023-06-23T18:39:04Z,Run,2222.6,811,951,2.9,"[40.7218683231622, -74.03607456944883]","[40.71680288761854, -74.03274393640459]",Run,2023-06-23T22:39:04Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.741,5.238,2.2226,13.516666666666667,6.081466150754372,2023-06-23 18:39:04+00:00,18,4
54,2023-06-18T08:39:23Z,Run,10513.1,4087,4101,2.4,"[40.72195532731712, -74.03633784502745]","[40.72191081941128, -74.03198914602399]",Run,2023-06-18T12:39:23Z,(GMT-05:00) America/New_York,16,2,0,1,0,2.572,4.868,10.5131,68.11666666666666,6.479217991521688,2023-06-18 08:39:23+00:00,8,6
55,2023-06-11T14:01:45Z,Run,5341.4,1932,2354,0.0,"[40.721850050613284, -74.0360930096358]","[40.70920720696449, -74.03737527318299]",Run,2023-06-11T18:01:45Z,(GMT-05:00) America/New_York,5,1,0,1,0,2.765,4.512,5.341399999999999,32.2,6.028382072115926,2023-06-11 14:01:45+00:00,14,6
