Sr. no.,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,sport_type,start_date,timezone,achievement_count,kudos_count,comment_count,athlete_count,photo_count,average_speed,max_speed,distance_km,duration_min,pace_min_per_km,start_dt,hour,weekday,playlist_id,intensity,mood,lyrics,music_condition,temp,humidity,windspeed,precip,conditions
11,2023-11-02T18:25:15Z,Run,4900.2,1936,2051,32.3,"[40.721952226012945, -74.03657790273428]","[40.72179280221462, -74.03659525327384]",Run,2023-11-02T22:25:15Z,(GMT-05:00) America/New_York,0,1,0,1,0,2.531,5.144,4.9002,32.266666666666666,6.584765247676965,2023-11-02 18:25:15+00:00,18,3,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,8.4,37.52,4.8,0.0,Clear
12,2023-11-01T18:08:35Z,Run,10065.4,4326,4672,5.2,"[40.7218543253839, -74.0359671972692]","[40.71971266530454, -74.04391785152256]",Run,2023-11-01T22:08:35Z,(GMT-05:00) America/New_York,0,2,0,2,0,2.327,3.78,10.0654,72.1,7.163152979513978,2023-11-01 18:08:35+00:00,18,2,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,8.0,39.63,22.2,0.0,Partially cloudy
13,2023-10-31T18:13:17Z,Run,5080.1,1924,2560,56.2,"[40.721805123612285, -74.03677185997367]","[40.72345803491771, -74.04614148661494]",Run,2023-10-31T22:13:17Z,(GMT-05:00) America/New_York,0,2,0,2,0,2.64,4.313,5.080100000000001,32.06666666666667,6.312211701869385,2023-10-31 18:13:17+00:00,18,1,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,9.9,50.05,2.1,0.0,Overcast
14,2023-10-29T18:03:13Z,Run,5033.4,2035,2101,9.1,"[40.721982987597585, -74.03636299073696]","[40.71321040391922, -74.03809829615057]",Run,2023-10-29T22:03:13Z,(GMT-05:00) America/New_York,3,2,0,1,0,2.473,15.858,5.033399999999999,33.916666666666664,6.73832134673713,2023-10-29 18:03:13+00:00,18,6,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,12.3,89.72,13.5,0.188,"Rain, Overcast"
15,2023-10-28T08:55:44Z,Run,17774.7,7174,8239,92.9,"[40.76331012882292, -73.96522837691009]","[40.768565498292446, -73.98148591630161]",Run,2023-10-28T12:55:44Z,(GMT-05:00) America/New_York,4,3,0,2,0,2.478,4.278,17.7747,119.56666666666666,6.726789575445249,2023-10-28 08:55:44+00:00,8,5,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,19.5,72.17,6.1,0.0,Clear
16,2023-10-23T09:11:55Z,Run,5078.5,1948,1951,46.8,"[44.04940886422992, -71.65654697455466]","[44.04988059774041, -71.65964526124299]",Run,2023-10-23T13:11:55Z,(GMT-05:00) America/New_York,0,2,0,2,0,2.607,3.814,5.0785,32.46666666666667,6.392963801647468,2023-10-23 09:11:55+00:00,9,0,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,7.4,83.88,8.4,0.0,Overcast
17,2023-10-21T11:02:30Z,Hike,4584.9,6116,7263,290.4,"[44.09742157906294, -71.68008327484131]","[44.09736935980618, -71.67967398650944]",Hike,2023-10-21T15:02:30Z,(GMT-05:00) America/New_York,0,1,0,3,0,0.75,2.511,4.584899999999999,101.93333333333334,22.2324005612627,2023-10-21 11:02:30+00:00,11,5,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,14.5,86.84,7.6,0.546,"Rain, Overcast"
18,2023-10-19T19:22:33Z,Run,6090.6,2449,2824,7.4,"[40.72185818105936, -74.03593090362847]","[40.72167386300862, -74.0365753043443]",Run,2023-10-19T23:22:33Z,(GMT-05:00) America/New_York,0,1,0,2,0,2.487,4.175,6.0906,40.81666666666667,6.7015838614695875,2023-10-19 19:22:33+00:00,19,3,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,16.0,67.88,10.9,0.0,Partially cloudy
20,2023-10-12T18:27:56Z,Run,4093.0,2730,2735,3.7,"[40.721869580447674, -74.0360417123884]","[40.71644648909569, -74.03265483677387]",Run,2023-10-12T22:27:56Z,(GMT-05:00) America/New_York,0,0,0,1,0,1.499,5.714,4.093,45.5,11.116540434888837,2023-10-12 18:27:56+00:00,18,3,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,20.1,32.92,4.0,0.0,Partially cloudy
21,2023-10-10T18:46:51Z,Run,5087.6,2049,2049,0.0,"[40.721852481365204, -74.03595923446119]","[40.72024022229016, -74.03206491842866]",Run,2023-10-10T22:46:51Z,(GMT-05:00) America/New_York,0,1,0,3,0,2.483,4.092,5.0876,34.15,6.712398773488482,2023-10-10 18:46:51+00:00,18,1,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,16.3,53.2,10.0,0.0,Overcast
